block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-02-25 00:00:00.000 UTC,arbitrum,64,4,3,1
2023-02-27 00:00:00.000 UTC,arbitrum,73,3,3,72
2023-02-28 00:00:00.000 UTC,arbitrum,94,6,7,89
2023-03-01 00:00:00.000 UTC,arbitrum,49,4,4,46
2023-03-02 00:00:00.000 UTC,arbitrum,54,3,3,53
2023-03-03 00:00:00.000 UTC,arbitrum,97,5,3,91
2023-03-04 00:00:00.000 UTC,arbitrum,23,4,4,22
2023-03-04 00:00:00.000 UTC,ethereum,42,1,1,1
2023-03-05 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-03-06 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-06 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-07 00:00:00.000 UTC,arbitrum,4,2,2,3
2023-03-07 00:00:00.000 UTC,ethereum,4,2,2,2
2023-03-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-08 00:00:00.000 UTC,ethereum,3,2,3,3
2023-03-09 00:00:00.000 UTC,arbitrum,3,2,1,2
2023-03-09 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-10 00:00:00.000 UTC,arbitrum,2,2,1,1
2023-03-11 00:00:00.000 UTC,arbitrum,3,2,2,1
2023-03-12 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-03-14 00:00:00.000 UTC,arbitrum,3,3,2,3
2023-03-15 00:00:00.000 UTC,arbitrum,4,4,3,2
2023-03-16 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-17 00:00:00.000 UTC,arbitrum,3,2,2,3
2023-03-18 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-19 00:00:00.000 UTC,arbitrum,6,6,3,3
2023-03-20 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-21 00:00:00.000 UTC,ethereum,3,2,2,2
2023-03-24 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-25 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-26 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-28 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-29 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-29 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-30 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-31 00:00:00.000 UTC,ethereum,5,1,4,2
2023-04-03 00:00:00.000 UTC,arbitrum,8,1,1,4
2023-04-04 00:00:00.000 UTC,arbitrum,5,2,2,2
2023-04-05 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-05 00:00:00.000 UTC,ethereum,1,1,1,1
2023-04-06 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-04-07 00:00:00.000 UTC,arbitrum,2,1,2,2
2023-04-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-09 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-10 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-11 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-13 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-14 00:00:00.000 UTC,arbitrum,3,1,3,1
2023-04-18 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-20 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-20 00:00:00.000 UTC,ethereum,1,1,1,1
2023-04-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-28 00:00:00.000 UTC,arbitrum,3,3,2,3
2023-05-02 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-03 00:00:00.000 UTC,arbitrum,7,5,4,3
2023-05-04 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-05-06 00:00:00.000 UTC,arbitrum,7,2,1,1
2023-05-09 00:00:00.000 UTC,arbitrum,2,2,2,1
2023-05-12 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-14 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-15 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-05-15 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-17 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-19 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-19 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-20 00:00:00.000 UTC,arbitrum,4,1,1,1
2023-05-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-26 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-27 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-28 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-05-28 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-29 00:00:00.000 UTC,arbitrum,18,1,1,18
2023-05-30 00:00:00.000 UTC,arbitrum,19,1,1,19
2023-05-30 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-31 00:00:00.000 UTC,arbitrum,4,1,1,4
2023-06-01 00:00:00.000 UTC,arbitrum,3,3,3,1
2023-06-01 00:00:00.000 UTC,ethereum,1,1,1,1
2023-06-05 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-12 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-14 00:00:00.000 UTC,arbitrum,3,1,1,1
2023-06-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-28 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-30 00:00:00.000 UTC,ethereum,2,2,1,2
