Day,# Attestations
2023-08-21 00:00:00.000 UTC,2
2023-08-23 00:00:00.000 UTC,6
2023-08-24 00:00:00.000 UTC,10
2023-08-30 00:00:00.000 UTC,4601
2023-08-31 00:00:00.000 UTC,8057
2023-09-01 00:00:00.000 UTC,10020
2023-09-02 00:00:00.000 UTC,11854
2023-09-03 00:00:00.000 UTC,13117
2023-09-04 00:00:00.000 UTC,14285
2023-09-05 00:00:00.000 UTC,15035
2023-09-06 00:00:00.000 UTC,15639
2023-09-07 00:00:00.000 UTC,15953
2023-09-08 00:00:00.000 UTC,16205
2023-09-09 00:00:00.000 UTC,16413
2023-09-10 00:00:00.000 UTC,16689
2023-09-11 00:00:00.000 UTC,16869
2023-09-12 00:00:00.000 UTC,17083
2023-09-13 00:00:00.000 UTC,17239
2023-09-14 00:00:00.000 UTC,17409
2023-09-15 00:00:00.000 UTC,17599
2023-09-16 00:00:00.000 UTC,17711
2023-09-17 00:00:00.000 UTC,17881
2023-09-18 00:00:00.000 UTC,18011
2023-09-19 00:00:00.000 UTC,18127
2023-09-20 00:00:00.000 UTC,18283
2023-09-21 00:00:00.000 UTC,18391
2023-09-22 00:00:00.000 UTC,18475
2023-09-23 00:00:00.000 UTC,18536
2023-09-24 00:00:00.000 UTC,18602
2023-09-25 00:00:00.000 UTC,18654
2023-09-26 00:00:00.000 UTC,18738
2023-09-27 00:00:00.000 UTC,19358
2023-09-28 00:00:00.000 UTC,19993
2023-09-29 00:00:00.000 UTC,20339
2023-09-30 00:00:00.000 UTC,20621
2023-10-01 00:00:00.000 UTC,20821
2023-10-02 00:00:00.000 UTC,20981
2023-10-03 00:00:00.000 UTC,21177
2023-10-04 00:00:00.000 UTC,21723
2023-10-05 00:00:00.000 UTC,22033
2023-10-06 00:00:00.000 UTC,22385
2023-10-07 00:00:00.000 UTC,22641
2023-10-08 00:00:00.000 UTC,22907
2023-10-09 00:00:00.000 UTC,23195
2023-10-10 00:00:00.000 UTC,23421
2023-10-11 00:00:00.000 UTC,23834
2023-10-12 00:00:00.000 UTC,24110
2023-10-13 00:00:00.000 UTC,24410
2023-10-14 00:00:00.000 UTC,24758
2023-10-15 00:00:00.000 UTC,25088
2023-10-16 00:00:00.000 UTC,25327
2023-10-17 00:00:00.000 UTC,25609
2023-10-18 00:00:00.000 UTC,25859
2023-10-19 00:00:00.000 UTC,26069
2023-10-20 00:00:00.000 UTC,26177
2023-10-21 00:00:00.000 UTC,26347
2023-10-22 00:00:00.000 UTC,26543
2023-10-23 00:00:00.000 UTC,26703
2023-10-24 00:00:00.000 UTC,27059
2023-10-25 00:00:00.000 UTC,27406
2023-10-26 00:00:00.000 UTC,27622
2023-10-27 00:00:00.000 UTC,27746
2023-10-28 00:00:00.000 UTC,27870
2023-10-29 00:00:00.000 UTC,28006
2023-10-30 00:00:00.000 UTC,28172
2023-10-31 00:00:00.000 UTC,28264
2023-11-01 00:00:00.000 UTC,28294
2023-11-02 00:00:00.000 UTC,28550
2023-11-03 00:00:00.000 UTC,28710
2023-11-04 00:00:00.000 UTC,28940
2023-11-05 00:00:00.000 UTC,29178
2023-11-06 00:00:00.000 UTC,29348
2023-11-07 00:00:00.000 UTC,29520
2023-11-08 00:00:00.000 UTC,29706
2023-11-09 00:00:00.000 UTC,29874
2023-11-10 00:00:00.000 UTC,30126
2023-11-11 00:00:00.000 UTC,30441
2023-11-12 00:00:00.000 UTC,30663
2023-11-13 00:00:00.000 UTC,30905
2023-11-14 00:00:00.000 UTC,31263
2023-11-15 00:00:00.000 UTC,31727
2023-11-16 00:00:00.000 UTC,31985
2023-11-17 00:00:00.000 UTC,32206
2023-11-18 00:00:00.000 UTC,32428
2023-11-19 00:00:00.000 UTC,32726
2023-11-20 00:00:00.000 UTC,32880
2023-11-21 00:00:00.000 UTC,33034
2023-11-22 00:00:00.000 UTC,33204
2023-11-23 00:00:00.000 UTC,33408
2023-11-24 00:00:00.000 UTC,33522
2023-11-25 00:00:00.000 UTC,33752
2023-11-26 00:00:00.000 UTC,33966
2023-11-27 00:00:00.000 UTC,34254
2023-11-28 00:00:00.000 UTC,34592
2023-11-29 00:00:00.000 UTC,34886
2023-11-30 00:00:00.000 UTC,35046
2023-12-01 00:00:00.000 UTC,35158
2023-12-02 00:00:00.000 UTC,35304
2023-12-03 00:00:00.000 UTC,35486
2023-12-04 00:00:00.000 UTC,35638
2023-12-05 00:00:00.000 UTC,35742
2023-12-06 00:00:00.000 UTC,36122
2023-12-07 00:00:00.000 UTC,36522
2023-12-08 00:00:00.000 UTC,36824
2023-12-09 00:00:00.000 UTC,37132
2023-12-10 00:00:00.000 UTC,37412
2023-12-11 00:00:00.000 UTC,37620
2023-12-12 00:00:00.000 UTC,37810
2023-12-13 00:00:00.000 UTC,37982
2023-12-14 00:00:00.000 UTC,38090
2023-12-15 00:00:00.000 UTC,38192
