Day,# Attestations
2024-07-19 00:00:00.000 UTC,156
2024-07-18 00:00:00.000 UTC,230
2024-07-17 00:00:00.000 UTC,42
2024-07-16 00:00:00.000 UTC,50
2024-07-15 00:00:00.000 UTC,94
2024-07-14 00:00:00.000 UTC,82
2024-07-13 00:00:00.000 UTC,82
2024-07-12 00:00:00.000 UTC,42
2024-07-11 00:00:00.000 UTC,36
2024-07-10 00:00:00.000 UTC,40
2024-07-09 00:00:00.000 UTC,78
2024-07-08 00:00:00.000 UTC,82
2024-07-07 00:00:00.000 UTC,36
2024-07-06 00:00:00.000 UTC,46
2024-07-05 00:00:00.000 UTC,48
2024-07-04 00:00:00.000 UTC,54
2024-07-03 00:00:00.000 UTC,100
2024-07-02 00:00:00.000 UTC,144
2024-07-01 00:00:00.000 UTC,168
2024-06-30 00:00:00.000 UTC,88
2024-06-29 00:00:00.000 UTC,114
2024-06-28 00:00:00.000 UTC,118
2024-06-27 00:00:00.000 UTC,98
2024-06-26 00:00:00.000 UTC,130
2024-06-25 00:00:00.000 UTC,114
2024-06-24 00:00:00.000 UTC,108
2024-06-23 00:00:00.000 UTC,150
2024-06-22 00:00:00.000 UTC,132
2024-06-21 00:00:00.000 UTC,142
2024-06-20 00:00:00.000 UTC,182
2024-06-19 00:00:00.000 UTC,182
2024-06-18 00:00:00.000 UTC,134
2024-06-17 00:00:00.000 UTC,180
2024-06-16 00:00:00.000 UTC,206
2024-06-15 00:00:00.000 UTC,258
2024-06-14 00:00:00.000 UTC,290
2024-06-13 00:00:00.000 UTC,494
2024-06-12 00:00:00.000 UTC,702
2024-06-11 00:00:00.000 UTC,532
2024-06-10 00:00:00.000 UTC,417
2024-06-09 00:00:00.000 UTC,742
2024-06-08 00:00:00.000 UTC,1054
2024-06-07 00:00:00.000 UTC,610
2024-06-06 00:00:00.000 UTC,340
2024-06-05 00:00:00.000 UTC,482
2024-06-04 00:00:00.000 UTC,394
2024-06-03 00:00:00.000 UTC,442
2024-06-02 00:00:00.000 UTC,248
2024-06-01 00:00:00.000 UTC,324
2024-05-31 00:00:00.000 UTC,554
2024-05-30 00:00:00.000 UTC,574
2024-05-29 00:00:00.000 UTC,482
2024-05-28 00:00:00.000 UTC,110
2024-05-27 00:00:00.000 UTC,106
2024-05-26 00:00:00.000 UTC,138
2024-05-25 00:00:00.000 UTC,148
2024-05-24 00:00:00.000 UTC,167
2024-05-23 00:00:00.000 UTC,342
2024-05-22 00:00:00.000 UTC,348
2024-05-21 00:00:00.000 UTC,210
2024-05-20 00:00:00.000 UTC,148
2024-05-19 00:00:00.000 UTC,220
2024-05-18 00:00:00.000 UTC,190
2024-05-17 00:00:00.000 UTC,248
2024-05-16 00:00:00.000 UTC,190
2024-05-15 00:00:00.000 UTC,312
2024-05-14 00:00:00.000 UTC,304
2024-05-13 00:00:00.000 UTC,418
2024-05-12 00:00:00.000 UTC,224
2024-05-11 00:00:00.000 UTC,206
2024-05-10 00:00:00.000 UTC,220
2024-05-09 00:00:00.000 UTC,292
2024-05-08 00:00:00.000 UTC,340
2024-05-07 00:00:00.000 UTC,506
2024-05-06 00:00:00.000 UTC,442
2024-05-05 00:00:00.000 UTC,492
2024-05-04 00:00:00.000 UTC,504
2024-05-03 00:00:00.000 UTC,636
2024-05-02 00:00:00.000 UTC,900
2024-05-01 00:00:00.000 UTC,1412
2024-04-30 00:00:00.000 UTC,566
2024-04-29 00:00:00.000 UTC,726
2024-04-28 00:00:00.000 UTC,926
2024-04-27 00:00:00.000 UTC,806
2024-04-26 00:00:00.000 UTC,1118
2024-04-25 00:00:00.000 UTC,1563
2024-04-24 00:00:00.000 UTC,3957
2024-04-23 00:00:00.000 UTC,3612
2024-04-22 00:00:00.000 UTC,601
2024-04-21 00:00:00.000 UTC,850
2024-04-20 00:00:00.000 UTC,560
2024-04-19 00:00:00.000 UTC,518
2024-04-18 00:00:00.000 UTC,564
2024-04-17 00:00:00.000 UTC,414
2024-04-16 00:00:00.000 UTC,332
2024-04-15 00:00:00.000 UTC,220
2024-04-14 00:00:00.000 UTC,144
2024-04-13 00:00:00.000 UTC,220
2024-04-12 00:00:00.000 UTC,160
2024-04-11 00:00:00.000 UTC,264
2024-04-10 00:00:00.000 UTC,300
2024-04-09 00:00:00.000 UTC,304
2024-04-08 00:00:00.000 UTC,240
2024-04-07 00:00:00.000 UTC,298
2024-04-06 00:00:00.000 UTC,356
2024-04-05 00:00:00.000 UTC,262
2024-04-04 00:00:00.000 UTC,350
2024-04-03 00:00:00.000 UTC,308
2024-04-02 00:00:00.000 UTC,356
2024-04-01 00:00:00.000 UTC,504
2024-03-31 00:00:00.000 UTC,384
2024-03-30 00:00:00.000 UTC,488
2024-03-29 00:00:00.000 UTC,692
2024-03-28 00:00:00.000 UTC,378
2024-03-27 00:00:00.000 UTC,306
2024-03-26 00:00:00.000 UTC,332
2024-03-25 00:00:00.000 UTC,402
2024-03-24 00:00:00.000 UTC,432
2024-03-23 00:00:00.000 UTC,440
2024-03-22 00:00:00.000 UTC,478
2024-03-21 00:00:00.000 UTC,400
2024-03-20 00:00:00.000 UTC,234
2024-03-19 00:00:00.000 UTC,304
2024-03-18 00:00:00.000 UTC,700
2024-03-17 00:00:00.000 UTC,278
2024-03-16 00:00:00.000 UTC,286
2024-03-15 00:00:00.000 UTC,596
2024-03-14 00:00:00.000 UTC,248
2024-03-13 00:00:00.000 UTC,146
2024-03-12 00:00:00.000 UTC,185
2024-03-11 00:00:00.000 UTC,224
2024-03-10 00:00:00.000 UTC,260
2024-03-09 00:00:00.000 UTC,371
2024-03-08 00:00:00.000 UTC,192
2024-03-07 00:00:00.000 UTC,202
2024-03-06 00:00:00.000 UTC,176
2024-03-05 00:00:00.000 UTC,215
2024-03-04 00:00:00.000 UTC,252
2024-03-03 00:00:00.000 UTC,402
2024-03-02 00:00:00.000 UTC,390
2024-03-01 00:00:00.000 UTC,477
2024-02-29 00:00:00.000 UTC,361
2024-02-28 00:00:00.000 UTC,706
2024-02-27 00:00:00.000 UTC,706
2024-02-26 00:00:00.000 UTC,482
2024-02-25 00:00:00.000 UTC,660
2024-02-24 00:00:00.000 UTC,672
2024-02-23 00:00:00.000 UTC,488
2024-02-22 00:00:00.000 UTC,464
2024-02-21 00:00:00.000 UTC,632
2024-02-20 00:00:00.000 UTC,498
2024-02-19 00:00:00.000 UTC,599
2024-02-18 00:00:00.000 UTC,932
2024-02-17 00:00:00.000 UTC,679
2024-02-16 00:00:00.000 UTC,614
2024-02-15 00:00:00.000 UTC,520
2024-02-14 00:00:00.000 UTC,524
2024-02-13 00:00:00.000 UTC,523
