attester,attest_count,recipient_count
0x843829986e895facd330486a61ebee9e1f1adb1a,127534,48653
0x38e9ef91f1a96aca71e2c5f7abfea45536b995a2,97367,13322
0x2a0eb7cae52b68e94ff6ab0bfcf0df8eeeb624be,51131,51131
0x8888119526f2aae3525a3820f8893424e74e7af2,13451,2298
0x2d93c2f74b2c4697f9ea85d0450148aa45d4d5a2,11288,11260
0xb3136c2db07b232f204920cc727c5a0b05391454,8577,4778
0x3a4afca659f54922a0d7a7b0bebabf641dec66bb,8111,8105
0x855a4621d491ff98bc3d02eadbc108403887561c,8087,8078
0xbe0c12b56aa9b4f5dde36c733b3a2997ed775a4f,8048,8038
0x56ad2cd6ad6f52c72181b93ac66d5dc887c3d0bd,8047,8043
