block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-02-20 00:00:00.000 UTC,arbitrum,64,4,3,1
2023-02-27 00:00:00.000 UTC,arbitrum,392,13,19,372
2023-02-27 00:00:00.000 UTC,ethereum,42,1,1,1
2023-03-06 00:00:00.000 UTC,arbitrum,17,7,7,7
2023-03-06 00:00:00.000 UTC,ethereum,9,5,5,5
2023-03-13 00:00:00.000 UTC,arbitrum,17,11,6,7
2023-03-13 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-20 00:00:00.000 UTC,arbitrum,4,3,3,3
2023-03-20 00:00:00.000 UTC,ethereum,4,3,3,3
2023-03-27 00:00:00.000 UTC,arbitrum,3,3,3,3
2023-03-27 00:00:00.000 UTC,ethereum,7,3,6,3
2023-04-03 00:00:00.000 UTC,arbitrum,20,4,7,9
2023-04-03 00:00:00.000 UTC,ethereum,1,1,1,1
2023-04-10 00:00:00.000 UTC,arbitrum,6,1,5,2
2023-04-17 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-04-17 00:00:00.000 UTC,ethereum,1,1,1,1
2023-04-24 00:00:00.000 UTC,arbitrum,4,3,3,3
2023-05-01 00:00:00.000 UTC,arbitrum,18,9,6,4
2023-05-08 00:00:00.000 UTC,arbitrum,3,2,2,1
2023-05-08 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-15 00:00:00.000 UTC,arbitrum,8,3,4,4
2023-05-15 00:00:00.000 UTC,ethereum,2,2,2,2
2023-05-22 00:00:00.000 UTC,arbitrum,4,3,3,4
2023-05-22 00:00:00.000 UTC,ethereum,3,2,3,2
2023-05-29 00:00:00.000 UTC,arbitrum,44,4,4,42
2023-05-29 00:00:00.000 UTC,ethereum,2,1,2,2
2023-06-05 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-12 00:00:00.000 UTC,arbitrum,4,2,2,2
2023-06-19 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-26 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-06-26 00:00:00.000 UTC,ethereum,2,2,1,2
2023-07-03 00:00:00.000 UTC,arbitrum,59,3,5,59
2023-07-03 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-10 00:00:00.000 UTC,arbitrum,45,5,4,20
2023-07-10 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-17 00:00:00.000 UTC,arbitrum,19,5,4,16
2023-07-17 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-24 00:00:00.000 UTC,arbitrum,66,5,4,41
2023-07-24 00:00:00.000 UTC,ethereum,3,2,2,2
2023-07-24 00:00:00.000 UTC,optimism,171,7,104,67
2023-07-31 00:00:00.000 UTC,arbitrum,57,7,6,37
2023-07-31 00:00:00.000 UTC,ethereum,2,1,2,2
2023-07-31 00:00:00.000 UTC,optimism,81,11,62,38
2023-08-07 00:00:00.000 UTC,arbitrum,26,8,4,18
2023-08-07 00:00:00.000 UTC,optimism,161,25,39,28
2023-08-14 00:00:00.000 UTC,arbitrum,8,2,2,6
2023-08-14 00:00:00.000 UTC,ethereum,2,1,2,2
2023-08-14 00:00:00.000 UTC,optimism,63,11,17,42
2023-08-21 00:00:00.000 UTC,arbitrum,4,1,1,4
2023-08-21 00:00:00.000 UTC,ethereum,2,2,2,2
2023-08-21 00:00:00.000 UTC,optimism,91,5,7,76
2023-08-28 00:00:00.000 UTC,arbitrum,31,4,3,9
2023-08-28 00:00:00.000 UTC,ethereum,1,1,1,1
2023-08-28 00:00:00.000 UTC,optimism,61,12,16,45
2023-09-04 00:00:00.000 UTC,arbitrum,155,6,4,111
2023-09-04 00:00:00.000 UTC,base,45,2,3,1
2023-09-04 00:00:00.000 UTC,ethereum,4,3,4,4
2023-09-04 00:00:00.000 UTC,optimism,29,11,10,22
2023-09-11 00:00:00.000 UTC,arbitrum,25,3,4,19
2023-09-11 00:00:00.000 UTC,base,115,6,13,99
2023-09-11 00:00:00.000 UTC,ethereum,16,12,12,12
2023-09-11 00:00:00.000 UTC,optimism,74,13,36,62
2023-09-18 00:00:00.000 UTC,arbitrum,24,6,3,14
2023-09-18 00:00:00.000 UTC,base,75,5,5,70
2023-09-18 00:00:00.000 UTC,ethereum,2,1,1,2
2023-09-18 00:00:00.000 UTC,optimism,1994,9,1618,1627
2023-09-25 00:00:00.000 UTC,arbitrum,11,4,5,6
2023-09-25 00:00:00.000 UTC,base,18,6,5,16
2023-09-25 00:00:00.000 UTC,ethereum,3,2,3,3
2023-09-25 00:00:00.000 UTC,optimism,1077,21,885,924
2023-10-02 00:00:00.000 UTC,arbitrum,9,4,5,5
2023-10-02 00:00:00.000 UTC,base,29,12,12,10
2023-10-02 00:00:00.000 UTC,ethereum,3,2,2,2
2023-10-02 00:00:00.000 UTC,optimism,3853,28,788,1216
2023-10-09 00:00:00.000 UTC,arbitrum,20,2,2,12
2023-10-09 00:00:00.000 UTC,base,13,9,8,5
2023-10-09 00:00:00.000 UTC,optimism,1168,22,875,910
2023-10-16 00:00:00.000 UTC,arbitrum,11,4,3,5
2023-10-16 00:00:00.000 UTC,base,26,10,11,11
2023-10-16 00:00:00.000 UTC,optimism,6947,21,3789,4058
2023-10-23 00:00:00.000 UTC,arbitrum,18,7,7,15
2023-10-23 00:00:00.000 UTC,base,113,7,8,66
2023-10-23 00:00:00.000 UTC,ethereum,4,2,3,2
