chain,day,eth_volume
base,2024-07-01 00:00:00.000 UTC,9.698785566686515e+06
optimism,2024-07-01 00:00:00.000 UTC,1.1801497298159865e+06
base,2024-06-01 00:00:00.000 UTC,7.005486028182234e+06
optimism,2024-06-01 00:00:00.000 UTC,1.365108742125884e+06
base,2024-05-01 00:00:00.000 UTC,7.997854210786182e+06
optimism,2024-05-01 00:00:00.000 UTC,1.6066522297501257e+06
base,2024-04-01 00:00:00.000 UTC,1.112919473101109e+07
optimism,2024-04-01 00:00:00.000 UTC,2.8070423894200064e+06
base,2024-03-01 00:00:00.000 UTC,6.900288346662255e+06
optimism,2024-03-01 00:00:00.000 UTC,2.5722909166616406e+06
optimism,2024-02-01 00:00:00.000 UTC,1.9701559322640137e+06
base,2024-02-01 00:00:00.000 UTC,2.4006063126008846e+06
base,2024-01-01 00:00:00.000 UTC,1.881131316920779e+06
optimism,2024-01-01 00:00:00.000 UTC,1.6717002412663414e+06
optimism,2023-12-01 00:00:00.000 UTC,2.0017340342150442e+06
base,2023-12-01 00:00:00.000 UTC,2.5080431904190225e+06
optimism,2023-11-01 00:00:00.000 UTC,1.844895789742069e+06
base,2023-11-01 00:00:00.000 UTC,1.6693408428304621e+06
optimism,2023-10-01 00:00:00.000 UTC,1.2411245585494698e+06
base,2023-10-01 00:00:00.000 UTC,1.5714375079929084e+06
optimism,2023-09-01 00:00:00.000 UTC,1.4759202190354695e+06
base,2023-09-01 00:00:00.000 UTC,2.155545359958095e+06
base,2023-08-01 00:00:00.000 UTC,2.7615833055988536e+06
optimism,2023-08-01 00:00:00.000 UTC,1.8294508752871668e+06
