rank,wallet_address,layer3_xp
1,0xf61467b750f98b40884e23dc051bb297dbc772b5,1775
2,0x9d17bb55b57b31329cf01aa7017948e398b277bc,1775
3,0xbbeb4a1078a534fdb60e21d0ab5dc11531e7daa0,1775
4,0x34d4ecd77d6378ebdda1c62a38881e4587109181,1775
5,0x0ecf5262e5b864e1612875f8fc18f151315b5e91,1775
6,0x17daf278f0d4e406b435ea74387f52d0b18c5c25,1775
7,0xefa845164e612fe623ac21380afc8ec78f22e3c3,1775
8,0x71535aae1b6c0c51db317b54d5eee72d1ab843c1,1775
9,0xb70b00cc8d5c1430f6c5123e73c7107f88635adb,1775
10,0x0671aec56bc2e358448162677bd110d673cd2937,1775
11,0x38430336153468dcf36af5cea7d6bc472425633a,1775
12,0xafc29c2ae80c368a7350766b882b9c891e0c5a06,1775
13,0x1bba4a4c45cf703fd7e676ae05e903fc95551843,1775
14,0x9be4310f5b69cc00644f06bfd2d17bf635e84e15,1775
15,0xeab804590011d0650fcb6c4da1870c6e9ca062d1,1775
16,0x147f138fc56629622c77f0d6c126925d55e79ff2,1775
17,0xd26b76e50f6510cdd4bf45d59279705f36946d23,1775
18,0xb4ed1a39491c83219764152e4dc68944d5547947,1775
19,0x961088b76a515d437d9e3e1fc9d24bd295ff3b67,1775
20,0x54117957eab5070d27785696cd24c38f5b35a913,1775
21,0x55a5705453ee82c742274154136fce8149597058,1775
22,0x714b831eb02fe854283219b2b9f1c6951f46dcb9,1775
23,0xcccbec1e8c3494390fb26fc08c370e44d79bc0a7,1600
24,0xe146feef34085765ecff8f71faa52c758a774ee4,1600
25,0x30c1fd89217ddb02ee8547c419edcb6042404bd1,1600
26,0x21005e2cfd76ce154b628a62f120d9b0ea3b4cd2,1600
27,0x543853fa91439f0ac1b746beaa1a12c780fd31f0,1600
28,0x5ff9c3fddfdbcfc24ea3f8861cd262e8f874d1b6,1600
29,0x41ddf3f2b3daf0c685caee32c841558b7aa7eefb,1600
30,0x625021be5903cde8a394e02ea8d597d5054c02fc,1600
31,0xbd2da68d9a819b200bd8128e242672ea98ce0de9,1600
32,0x3631f39d7e7f8c4603ca67e12d49ad59b5ca362a,1600
33,0xefa7dd262d397ba2fa0346c925d6bcabc3ee50fe,1600
34,0xbb0681e131d704cb86bda625a730c7866e262a3a,1600
35,0x53a4d82284fa3bdb8fee4fc771b37760bf024742,1600
36,0x19b134465d91b830032fba53ad95e5759e6660b5,1600
37,0x16718073f20aa0653f7fd9d6c71a905a6cfd1e6c,1600
38,0x8bef0c8ac5efa08f898e2cf5ae4a058648a4aa37,1600
39,0x2c5a43a8bfddbba58a839dba32301c8dfea8841f,1600
40,0x13f1c6aa9480f5950f5037d56c5582b6e8395624,1600
41,0x6c31212a23040998e1d1c157ace3982abdbe3154,1600
