chain,month_cohort,total_users
base,2023-07-01 00:00:00.000 UTC,175495
base,2023-08-01 00:00:00.000 UTC,833549
base,2023-09-01 00:00:00.000 UTC,473999
base,2023-10-01 00:00:00.000 UTC,865186
base,2023-11-01 00:00:00.000 UTC,246155
base,2023-12-01 00:00:00.000 UTC,333269
base,2024-01-01 00:00:00.000 UTC,294349
base,2024-02-01 00:00:00.000 UTC,457138
base,2024-03-01 00:00:00.000 UTC,2.074947e+06
base,2024-04-01 00:00:00.000 UTC,2.399925e+06
base,2024-05-01 00:00:00.000 UTC,1.867517e+06
base,2024-06-01 00:00:00.000 UTC,5.447106e+06
base,2024-07-01 00:00:00.000 UTC,9.428509e+06
blast,2024-02-01 00:00:00.000 UTC,24714
blast,2024-03-01 00:00:00.000 UTC,440828
blast,2024-04-01 00:00:00.000 UTC,218772
blast,2024-05-01 00:00:00.000 UTC,328079
blast,2024-06-01 00:00:00.000 UTC,412432
blast,2024-07-01 00:00:00.000 UTC,107075
mantle,2023-07-01 00:00:00.000 UTC,10324
mantle,2023-08-01 00:00:00.000 UTC,76739
mantle,2023-09-01 00:00:00.000 UTC,105471
mantle,2023-10-01 00:00:00.000 UTC,85921
mantle,2023-11-01 00:00:00.000 UTC,47698
mantle,2023-12-01 00:00:00.000 UTC,224363
mantle,2024-01-01 00:00:00.000 UTC,196222
mantle,2024-02-01 00:00:00.000 UTC,204137
mantle,2024-03-01 00:00:00.000 UTC,71927
mantle,2024-04-01 00:00:00.000 UTC,353881
mantle,2024-05-01 00:00:00.000 UTC,226339
mantle,2024-06-01 00:00:00.000 UTC,1.068367e+06
mantle,2024-07-01 00:00:00.000 UTC,389268
mode,2023-11-01 00:00:00.000 UTC,580
mode,2023-12-01 00:00:00.000 UTC,213
mode,2024-01-01 00:00:00.000 UTC,5454
mode,2024-02-01 00:00:00.000 UTC,105592
mode,2024-03-01 00:00:00.000 UTC,44681
mode,2024-04-01 00:00:00.000 UTC,151298
mode,2024-05-01 00:00:00.000 UTC,65490
mode,2024-06-01 00:00:00.000 UTC,12142
mode,2024-07-01 00:00:00.000 UTC,13100
optimism,2023-07-01 00:00:00.000 UTC,710936
optimism,2023-08-01 00:00:00.000 UTC,576206
optimism,2023-09-01 00:00:00.000 UTC,350193
optimism,2023-10-01 00:00:00.000 UTC,244643
optimism,2023-11-01 00:00:00.000 UTC,577225
optimism,2023-12-01 00:00:00.000 UTC,478986
optimism,2024-01-01 00:00:00.000 UTC,410793
optimism,2024-02-01 00:00:00.000 UTC,521870
optimism,2024-03-01 00:00:00.000 UTC,938425
optimism,2024-04-01 00:00:00.000 UTC,1.028848e+06
optimism,2024-05-01 00:00:00.000 UTC,802475
optimism,2024-06-01 00:00:00.000 UTC,721041
optimism,2024-07-01 00:00:00.000 UTC,406309
