Chain,evt_day,op_transactions
base,2024-07-01 00:00:00.000 UTC,1.07998258e+08
blast,2024-07-01 00:00:00.000 UTC,2.10834e+07
mantle,2024-07-01 00:00:00.000 UTC,1.5028194e+07
mode,2024-07-01 00:00:00.000 UTC,5.34726e+06
optimism,2024-07-01 00:00:00.000 UTC,1.4017868e+07
base,2024-06-01 00:00:00.000 UTC,8.8338272e+07
blast,2024-06-01 00:00:00.000 UTC,2.753163e+07
mantle,2024-06-01 00:00:00.000 UTC,1.6873233e+07
mode,2024-06-01 00:00:00.000 UTC,6.283855e+06
optimism,2024-06-01 00:00:00.000 UTC,1.4839082e+07
base,2024-05-01 00:00:00.000 UTC,6.5050042e+07
blast,2024-05-01 00:00:00.000 UTC,2.0750241e+07
mantle,2024-05-01 00:00:00.000 UTC,1.0376252e+07
mode,2024-05-01 00:00:00.000 UTC,8.637978e+06
optimism,2024-05-01 00:00:00.000 UTC,1.5912186e+07
base,2024-04-01 00:00:00.000 UTC,8.0473996e+07
blast,2024-04-01 00:00:00.000 UTC,1.4956145e+07
mantle,2024-04-01 00:00:00.000 UTC,9.905075e+06
mode,2024-04-01 00:00:00.000 UTC,6.837991e+06
optimism,2024-04-01 00:00:00.000 UTC,1.9126765e+07
base,2024-03-01 00:00:00.000 UTC,3.3626307e+07
blast,2024-03-01 00:00:00.000 UTC,1.1972829e+07
mantle,2024-03-01 00:00:00.000 UTC,7.508284e+06
mode,2024-03-01 00:00:00.000 UTC,4.436835e+06
optimism,2024-03-01 00:00:00.000 UTC,1.7058699e+07
base,2024-02-01 00:00:00.000 UTC,1.1973979e+07
blast,2024-02-01 00:00:00.000 UTC,613905
mantle,2024-02-01 00:00:00.000 UTC,6.714197e+06
mode,2024-02-01 00:00:00.000 UTC,4.258773e+06
optimism,2024-02-01 00:00:00.000 UTC,9.966507e+06
base,2024-01-01 00:00:00.000 UTC,9.494617e+06
mantle,2024-01-01 00:00:00.000 UTC,1.5104802e+07
mode,2024-01-01 00:00:00.000 UTC,1.386363e+06
optimism,2024-01-01 00:00:00.000 UTC,1.0806673e+07
base,2023-12-01 00:00:00.000 UTC,7.745361e+06
mantle,2023-12-01 00:00:00.000 UTC,1.2770123e+07
mode,2023-12-01 00:00:00.000 UTC,1.340822e+06
optimism,2023-12-01 00:00:00.000 UTC,1.0189919e+07
base,2023-11-01 00:00:00.000 UTC,7.2388e+06
mantle,2023-11-01 00:00:00.000 UTC,5.424255e+06
mode,2023-11-01 00:00:00.000 UTC,613209
optimism,2023-11-01 00:00:00.000 UTC,8.89619e+06
base,2023-10-01 00:00:00.000 UTC,1.4930661e+07
mantle,2023-10-01 00:00:00.000 UTC,7.385862e+06
optimism,2023-10-01 00:00:00.000 UTC,7.195387e+06
base,2023-09-01 00:00:00.000 UTC,2.4585659e+07
mantle,2023-09-01 00:00:00.000 UTC,7.115577e+06
optimism,2023-09-01 00:00:00.000 UTC,9.226069e+06
base,2023-08-01 00:00:00.000 UTC,1.5603098e+07
mantle,2023-08-01 00:00:00.000 UTC,3.652129e+06
optimism,2023-08-01 00:00:00.000 UTC,1.5229609e+07
base,2023-07-01 00:00:00.000 UTC,1.447515e+06
mantle,2023-07-01 00:00:00.000 UTC,446960
optimism,2023-07-01 00:00:00.000 UTC,1.6139173e+07
