evt_day,cumulative_l1_calldata_cost_usd,cumulative_l2_rev_usd,cumulative_margin_usd
2023-08-01 00:00:00.000 UTC,-1.4221904878628242e+06,4.213990402421923e+06,2.791799914559099e+06
2023-09-01 00:00:00.000 UTC,-2.4617125743807917e+06,6.502911030558137e+06,4.041198456177346e+06
2023-10-01 00:00:00.000 UTC,-3.141598859446227e+06,7.796407297917081e+06,4.654808438470855e+06
2023-11-01 00:00:00.000 UTC,-4.482083982245553e+06,9.396003244652167e+06,4.9139192624066165e+06
2023-12-01 00:00:00.000 UTC,-6.55665774148087e+06,1.1880479037653783e+07,5.323821296172916e+06
2024-01-01 00:00:00.000 UTC,-8.129495445595385e+06,1.391285597317463e+07,5.783360527579249e+06
2024-02-01 00:00:00.000 UTC,-1.1918385307647033e+07,1.863789963244143e+07,6.719514324794403e+06
2024-03-01 00:00:00.000 UTC,-1.5716332505090645e+07,3.931907012600099e+07,2.3602737620910354e+07
2024-04-01 00:00:00.000 UTC,-1.5745706747733839e+07,5.2243655035170645e+07,3.649794828743681e+07
2024-05-01 00:00:00.000 UTC,-1.5761543195828779e+07,5.9237274745725214e+07,4.347573154989644e+07
2024-06-01 00:00:00.000 UTC,-1.5790296528430814e+07,6.366229011088171e+07,4.78719935824509e+07
2024-07-01 00:00:00.000 UTC,-1.5807237146841757e+07,6.675413693128326e+07,5.09468997844415e+07
2024-08-01 00:00:00.000 UTC,-1.5807237146841757e+07,6.675413693128326e+07,5.09468997844415e+07
