evt_day,cumulative_l1_calldata_cost_usd,cumulative_l2_rev_usd,cumulative_margin_usd
2023-07-01 00:00:00.000 UTC,-141212.14511981362,0,0
2023-08-01 00:00:00.000 UTC,-458453.05324689986,0,0
2023-09-01 00:00:00.000 UTC,-730557.1733622112,0,0
2023-10-01 00:00:00.000 UTC,-971398.9204651857,0,0
2023-11-01 00:00:00.000 UTC,-1.5712015427225027e+06,0,0
2023-12-01 00:00:00.000 UTC,-3.25810857358429e+06,0,0
2024-01-01 00:00:00.000 UTC,-4.593665391372174e+06,0,0
2024-02-01 00:00:00.000 UTC,-5.705590463271114e+06,0,0
2024-03-01 00:00:00.000 UTC,-6.844127525553849e+06,0,0
2024-04-01 00:00:00.000 UTC,-6.898241157946886e+06,0,0
2024-05-01 00:00:00.000 UTC,-6.92582233026953e+06,0,0
2024-06-01 00:00:00.000 UTC,-6.954038684526406e+06,0,0
2024-07-01 00:00:00.000 UTC,-6.970232070076656e+06,0,0
